Date,Open,High,Low,Close,Adj Close,Volume,Percent Change
2/7/20,332.820007,333.98999,331.600006,332.200012,311.941406,64139400,-0.005329946
2/10/20,331.230011,334.75,331.190002,334.679993,314.270172,42070000,0.007465396
2/11/20,336.160004,337.019989,334.679993,335.26001,314.814789,54864500,0.001732958
2/12/20,336.829987,337.649994,336.429993,337.420013,316.843018,43992700,0.00644261
2/13/20,335.859985,338.119995,335.559998,337.059998,316.505035,54501900,-0.001066721
2/14/20,337.51001,337.730011,336.200012,337.600006,317.012085,64582200,0.001602028
2/18/20,336.51001,337.670013,335.209991,336.730011,316.19516,57226200,-0.002576952
2/19/20,337.790009,339.079987,337.480011,338.339996,317.70697,48814700,0.004781256
2/20/20,337.73999,338.640015,333.679993,336.950012,316.401764,74163400,-0.004108207
2/21/20,335.470001,335.809998,332.579987,333.480011,313.143402,113788200,-0.010298179
2/24/20,323.140015,333.559998,321.23999,322.420013,302.757782,161088400,-0.0331657
2/25/20,323.940002,324.609985,311.690002,312.649994,293.583588,218913200,-0.030302091
2/26/20,314.179993,318.109985,310.700012,311.5,292.503784,194773800,-0.003678012
2/27/20,305.459991,311.559998,297.51001,297.51001,279.366943,284353500,-0.044911696
2/28/20,288.700012,297.890015,285.540009,296.26001,278.193176,384975800,-0.004201524
3/2/20,298.209991,309.160004,294.459991,309.089996,290.240723,238703600,0.043306407
3/3/20,309.5,313.839996,297.570007,300.23999,281.93042,300139100,-0.02863245
3/4/20,306.119995,313.100006,303.329987,312.859985,293.780792,176613400,0.042032967
3/5/20,304.980011,308.470001,300.01001,302.459991,284.015015,186366800,-0.033241714
3/6/20,293.149994,298.779999,290.230011,297.459991,279.319946,228667200,-0.016531059
3/9/20,275.299988,284.190002,273.450012,274.230011,257.506683,309417300,-0.078094183
3/10/20,284.640015,288.519989,273.5,288.420013,270.831238,276444100,0.051744502
3/11/20,280.700012,281.940002,270.880005,274.359985,257.628662,255316300,-0.04874835
3/12/20,256,266.660004,247.679993,248.110001,232.979477,392220700,-0.095677184
3/13/20,263.089996,271.480011,248.520004,269.320007,252.896042,329566100,0.08548635
3/16/20,241.179993,256.899994,237.360001,239.850006,225.223206,297240000,-0.109423761
3/17/20,245.039993,256.170013,237.070007,252.800003,237.383499,262070500,0.053992185
3/18/20,236.25,248.369995,228.020004,240,225.364075,327597100,-0.050632938
3/19/20,239.25,247.380005,232.220001,240.509995,225.842987,289322000,0.002125059
3/20/20,242.529999,244.470001,228.5,228.800003,216.110474,347158800,-0.043094156
3/23/20,228.190002,229.679993,218.259995,222.949997,210.584869,326025200,-0.025568428
3/24/20,234.419998,244.100006,233.800003,243.149994,229.664536,235494500,0.090603219
3/25/20,244.869995,256.350006,239.75,246.789993,233.102661,299430300,0.014970204
3/26/20,249.520004,262.799988,249.050003,261.200012,246.713501,257632800,0.058389895
3/27/20,253.270004,260.809998,251.050003,253.419998,239.364944,224341200,-0.029785792
3/30/20,255.699997,262.429993,253.529999,261.649994,247.138535,171369500,0.032475896
3/31/20,260.559998,263.329987,256.220001,257.75,243.454849,194881100,-0.014905349
4/1/20,247.979996,257.660004,243.899994,246.149994,232.498199,189554600,-0.045004854
4/2/20,245.190002,252.679993,244.589996,251.830002,237.863159,177660400,0.023075276
4/3/20,250.759995,253.320007,245.220001,248.190002,234.425034,135561200,-0.014454214
4/6/20,257.839996,267,248.169998,264.859985,250.170486,188061200,0.067166257
4/7/20,274.209991,275.029999,264.890015,265.130005,250.425537,201427200,0.001019509
4/8/20,267.959991,276,265.25,274.029999,258.831909,153774500,0.03356835
4/9/20,277.579987,281.200012,275.470001,278.200012,262.77066,189999200,0.015217409
4/13/20,277.140015,277.51001,271.410004,275.660004,260.37146,114839100,-0.009130395
4/14/20,280.980011,284.899994,275.51001,283.790009,268.05069,134143400,0.029493363
4/15/20,277.570007,283.940002,275.459991,277.76001,262.355011,121775000,-0.021248515
4/16/20,279.149994,280.029999,275.76001,279.100006,263.620728,131798300,0.004824444
4/17/20,285.380005,287.299988,282.399994,286.640015,270.742615,146684800,0.027015656
4/20/20,282.609985,286.790009,281.350006,281.589996,265.972656,100109300,-0.017618058
4/21/20,276.730011,278.040009,272.019989,273.040009,257.89682,126385700,-0.030363407
4/22/20,278.350006,281,276.910004,279.100006,263.620728,92951600,0.022194566
4/23/20,280.48999,283.940002,278.75,279.079987,263.601837,104709700,-7.16598E-05
4/24/20,280.730011,283.700012,278.5,282.970001,267.276154,85063200,0.01393889
4/27/20,285.119995,288.269989,284.619995,287.049988,271.129791,77896600,0.014418185
4/28/20,291.019989,291.399994,285.399994,285.730011,269.883057,105270000,-0.004598292
4/29/20,291.529999,294.880005,290.410004,293.209991,276.948151,118745600,0.026178353
4/30/20,291.709991,293.320007,288.589996,290.480011,274.369568,122901700,-0.009310707
5/1/20,285.309998,290.660004,281.519989,282.790009,267.106049,125180000,-0.026473486
5/4/20,280.73999,283.899994,279.130005,283.570007,267.842834,80873200,0.002758399
5/5/20,286.640015,289.25,283.709991,286.190002,270.317535,79569900,0.009239377
5/6/20,288.040009,288.459991,283.779999,284.25,268.485138,73632600,-0.006778683
5/7/20,287.75,289.779999,287.130005,287.679993,271.724884,75250400,0.012066761
5/8/20,291.089996,292.950012,289.859985,292.440002,276.220856,76452400,0.016546044
5/11/20,290.339996,294,289.880005,292.5,276.277496,79514200,0.000205053
5/12/20,293.790009,294.23999,286.519989,286.670013,270.770905,95870800,-0.019931377
5/13/20,286.059998,287.190002,278.959991,281.600006,265.982117,144721100,-0.017685755
5/14/20,278.950012,285.109985,272.98999,284.970001,269.165161,121977900,0.011967135
5/15/20,282.369995,286.329987,281.339996,286.279999,270.402557,111146300,0.004597163
5/18/20,293.049988,296.75,292.700012,295,278.638855,119703800,0.030459394
5/19/20,294.350006,296.209991,291.950012,291.970001,275.776978,95189300,-0.010270919
5/20/20,295.820007,297.869995,295.570007,296.929993,280.461792,85861700,0.016987691
5/21/20,296.790009,297.670013,293.690002,294.880005,278.525543,78293900,-0.006903789
5/22/20,294.570007,295.630005,293.220001,295.440002,279.054504,63958200,0.001899147
5/26/20,301.929993,302.190002,295.459991,299.079987,282.492615,88951400,0.012320572
5/27/20,302.119995,303.570007,296.869995,303.529999,286.695831,104817400,0.01487903
5/28/20,304.649994,306.839996,302.23999,302.970001,286.166901,90405200,-0.001844917
5/29/20,302.459991,304.959991,299.470001,304.320007,287.441986,119090800,0.004455739
6/1/20,303.619995,306.209991,303.059998,305.549988,288.603729,55758300,0.004041661
6/2/20,306.549988,308.130005,305.100006,308.079987,290.993469,74267200,0.00828035
6/3/20,310.23999,313.220001,309.940002,312.179993,294.866058,92567600,0.013308165
6/4/20,311.109985,313,309.079987,311.359985,294.091522,75794400,-0.002626738
6/5/20,317.230011,321.269989,317.160004,319.339996,301.628967,150524700,0.02562959
6/8/20,320.220001,323.410004,319.630005,323.200012,305.274902,73641200,0.012087483
6/9/20,320.299988,323.279999,319.359985,320.790009,302.998505,77479200,-0.007456876
6/10/20,321.420013,322.390015,318.220001,319,301.307861,95000800,-0.005579711
6/11/20,311.459991,312.149994,300.01001,300.609985,283.937744,209243600,-0.057649067
6/12/20,308.23999,309.079987,298.600006,304.209991,287.338074,194678900,0.011975618
6/15/20,298.019989,308.279999,296.73999,307.049988,290.020599,135782700,0.00933578
6/16/20,315.480011,315.640015,307.670013,312.959991,295.602783,137627500,0.019247543
6/17/20,314.070007,314.390015,310.859985,311.660004,294.374939,83398900,-0.004153696
6/18/20,310.01001,312.299988,309.51001,311.779999,294.488281,80828700,0.000385026
6/19/20,314.170013,314.380005,306.529999,308.640015,292.805328,135549600,-0.005714839
6/22/20,307.98999,311.049988,306.75,310.619995,294.683655,74649400,0.006414934
6/23/20,313.48999,314.5,311.609985,312.049988,296.040344,68471200,0.004603883
6/24/20,309.839996,310.51001,302.100006,304.089996,288.488708,132813500,-0.025508807
6/25/20,303.470001,307.640015,301.279999,307.350006,291.58139,89468000,0.010720288
6/26/20,306.160004,306.390015,299.420013,300.049988,284.656006,127961000,-0.023751118
6/29/20,301.410004,304.609985,298.929993,304.459991,288.839661,79773300,0.014697231
6/30/20,303.98999,310.200012,303.820007,308.359985,292.539673,113394800,0.012809917
7/1/20,309.570007,311.890015,309.070007,310.519989,294.588867,72396500,0.007004841
7/2/20,314.23999,315.700012,311.51001,312.230011,296.21109,69344200,0.005506736
7/6/20,316.369995,317.679993,315.559998,317.049988,300.783752,61713800,0.015437174
7/7/20,315.380005,317.519989,313.369995,313.779999,297.681549,82910000,-0.010313732
7/8/20,314.609985,316.299988,312.700012,316.179993,299.958374,54638600,0.007648526
7/9/20,316.839996,317.100006,310.679993,314.380005,298.250763,83354200,-0.005692827
7/10/20,314.309998,317.880005,312.76001,317.589996,301.296021,57550400,0.010210395
7/13/20,320.130005,322.709991,314.130005,314.839996,298.687164,102997500,-0.008658783
7/14/20,313.299988,319.76001,312,318.920013,302.557831,93657000,0.012958933
7/15/20,322.410004,323.040009,319.269989,321.850006,305.337524,87196500,0.009187311
7/16/20,319.790009,321.279999,319.089996,320.790009,304.33194,54622500,-0.003293352
7/17/20,321.880005,322.570007,319.73999,321.720001,305.214203,62774900,0.002899015
7/20/20,321.429993,325.130005,320.619995,324.320007,307.680786,56308800,0.008081482
